block_id	transaction_hash	index	time	value	value_usd	recipient	type	script_hex	is_from_coinbase	is_spendable
839401	1c9674976b5f780524e53c72ba691f63e539902fe044fce3d46b22752344d709	1	2024-04-16 00:00:28	472206	299.6997	bc1qanu6vlr3avhte84p3nphlegtjrnrw4v4dktc98	witness_v0_scripthash	0014ecf9a67c71eb2ebc9ea18cc37fe50b90e6375595	0	-1
839401	a63f0646298cd4b095e3cae30c31f88618546fb492db0e5d28d7ccf08fa5ab10	0	2024-04-16 00:00:28	315448	200.2085	18M8FJywzd6xrj6jisWRRHCEPRdccmzLoP	pubkeyhash	76a91450973fbd5faa2bd62fda613e00bef71257ee10cd88ac	0	-1
839401	a63f0646298cd4b095e3cae30c31f88618546fb492db0e5d28d7ccf08fa5ab10	1	2024-04-16 00:00:28	1091238	692.5869	bc1qtx77esvh8cyznqyt9k82gh2j4jm4ptwt4562sz	witness_v0_scripthash	001459bdecc1973e0829808b2d8ea45d52acb750adcb	0	-1
839401	e5eb5d4eb19a261c89f628604ed0c27f3c6eb566dd264ed22f3f471f7c72c410	0	2024-04-16 00:00:28	6991854	4437.5898	3DdEbrXLrCU7E9sntGfakUxoYZ9UrBoNU3	scripthash	a91482ea6dadab21fe7e4393af187d149b446103aeb787	0	-1
839401	b5b4d3201fe88519d4387cbe37c6e24f10464476fd54eb2036d8e90c9c031413	0	2024-04-16 00:00:28	526000	333.8417	1Jd8BdCEdFrjqUstQaFdiPyxeNc3aeJzLQ	pubkeyhash	76a914c14f1bf1df2cb7971e68e393232375309e295f3a88ac	0	-1
839401	b5b4d3201fe88519d4387cbe37c6e24f10464476fd54eb2036d8e90c9c031413	1	2024-04-16 00:00:28	33664	21.3659	bc1qkfwymqxzdmgp9jwn7hkvtykrzywdugm5fyupkh	witness_v0_scripthash	0014b25c4d80c26ed012c9d3f5ecc592c3111cde2374	0	-1
839401	9bf7044c47307649a0f3ae3a30ae606db3bc7ff726c48d2bc275ac8fcab2f919	0	2024-04-16 00:00:28	2246272	1425.6639	16d39ku7ciDMQEgsu2eR3Ft5UJGYQVbhxE	pubkeyhash	76a9143da9662adb1b3318a53d990037ec04d55544eefa88ac	0	-1
839401	1d9cf596f6b76e35df30108a8cc9af0603cfb7af214a606cc39070e3c8b45021	0	2024-04-16 00:00:28	65908	41.8305	3QEdtDFWtKxmfFTuWsQC9qf65j4iQ8tWAD	scripthash	a914f74dae0676a106e3b09db703d4623f7294b1498e87	0	-1
839401	03e3d77287dec15efad51c28a364ef5c711231101436c8a36678f5a07f905324	0	2024-04-16 00:00:28	124391	78.9485	bc1q88pzglt2nsyjf7zvcz6u6uhtnq5r5ag2ahdc9t	witness_v0_scripthash	001439c2247d6a9c0924f84cc0b5cd72eb98283a750a	0	-1
839401	f7f6f1a753b6cba5f5d17148c41d195cce3167554eb3c0874950676e9d575428	0	2024-04-16 00:00:28	13971	8.8671	3Mcq4xGf9gP5fYdy32ujc8jtR7BCMp1xeK	scripthash	a914da97ca6036fe7bfeeba3fe97032e5cc89a4e457087	0	-1
839401	69a39acdd9705f307e47cee3046e49f374c24ea246d4cd87bf6bdcf0f9e71e29	0	2024-04-16 00:00:28	95073	60.3409	34o5m54W9tgFt6uxnKVfKRMDSzw3CTtoAy	scripthash	a914220e1368abfa239ead278a6b6eda44222f575e4387	0	-1
839401	04b81f5c19f2ab091eb36a21b7ffbcf670b4d35d4717a0e3fa4a0a55d753552c	0	2024-04-16 00:00:28	220000	139.6296	1JyggBCKRVAchQLeUmgdbqaDETMNT4H4gR	pubkeyhash	76a914c5328d342ff2966f02ade6066e01a7ef14074b1d88ac	0	-1
839401	04b81f5c19f2ab091eb36a21b7ffbcf670b4d35d4717a0e3fa4a0a55d753552c	1	2024-04-16 00:00:28	1576876	1000.8116	bc1qahuk3u3j48de2nxtcnjuvsjd0l5cauzkk2rlra	witness_v0_scripthash	0014edf968f232a9db954ccbc4e5c6424d7fe98ef056	0	-1
839401	e137b54fda1c172b1ea411e11ce070e75c2ced9939fcb06350eddf2f497ea22d	0	2024-04-16 00:00:28	423665	268.8917	bc1qsy9pdclw0x04l5p4uhpcjuf4whqkqfukdd8346	witness_v0_scripthash	0014810a16e3ee799f5fd035e5c389713575c1602796	0	-1
839401	e137b54fda1c172b1ea411e11ce070e75c2ced9939fcb06350eddf2f497ea22d	1	2024-04-16 00:00:28	85849	54.4866	bc1qrkpnva2vzhkfxhv77p3uqkczyrxfhuxws8qjeh	witness_v0_scripthash	00141d8336754c15ec935d9ef063c05b0220cc9bf0ce	0	-1
839401	90f28241b6752aad700a7062ea400975e650f4c75cc7d6cb023f51684e793136	0	2024-04-16 00:00:28	1874680	1189.8219	bc1qar3zmnq5xswgpc0clhjdxgpmkye7r3x4kyzydu	witness_v0_scripthash	0014e8e22dcc14341c80e1f8fde4d3203bb133e1c4d5	0	-1
839401	1ae93fc93c5db67f8c926826406366e3dea6067a822f2b25fcd4ffda5f466936	0	2024-04-16 00:00:28	308031	195.5011	1CpoqeCuMZ8xxVJVCnfXNX3kukp5nbgfUi	pubkeyhash	76a91481b40862d9c01ee265bf95e4804b372eceb75a5688ac	0	-1
839401	2328c87230cb34bed985b0f2e1faba67d27d5f392ac9f5d17ec8f38631db2b38	0	2024-04-16 00:00:28	372180	236.2152	33FSnxKKERu8TDNqd9LeMrC2TXemw7hPUU	scripthash	a914111a323f9d92901bc8f2cdfeceacbcf301ff27ad87	0	-1
839401	3cc231451b837dd9f23837ccd69df995d2e8529de3954047078128e98ee38240	0	2024-04-16 00:00:28	15825	10.0438	bc1qprpak0cp5a69xlrlgves8cyh9e9vlyj4mah24g	witness_v0_scripthash	001408c3db3f01a774537c7f433303e0972e4acf9255	0	-1
839401	3cc231451b837dd9f23837ccd69df995d2e8529de3954047078128e98ee38240	1	2024-04-16 00:00:28	55822	35.4291	bc1q8jdzvxjms9qjuam3tgx8460k25tveel872lj7h	witness_v0_scripthash	00143c9a261a5b81412e77715a0c7ae9f65516cce7e7	0	-1
839401	51b52ec3fc8e4d0e1cb20edb1c401777f05359fa79f64980b4f9f7798fa73143	0	2024-04-16 00:00:28	280426	177.9808	bc1qr85ctzkt5n06d5p03rvz3zd2ywjmvk6np0dq8m	witness_v0_scripthash	001419e9858acba4dfa6d02f88d82889aa23a5b65b53	0	-1
839401	127586497b59ba8675d178199375f48c127ef41e19edbcf6f03461f1ed23de44	0	2024-04-16 00:00:28	94703	60.1061	bc1qgatqpmufyjjyt2m7xkg9g0247eqcffsdf7vdpw	witness_v0_scripthash	0014475600ef8924a445ab7e3590543d55f64184a60d	0	-1
